Date,Adj Close,Close,High,Low,Open,Volume
4/7/2021,6885.299805,6885.299805,6898.399902,6823.600098,6823.600098,708769700
4/8/2021,6942.200195,6942.200195,6942.200195,6884.799805,6885.299805,792318200
4/9/2021,6915.799805,6915.799805,6949.600098,6906.399902,6942.200195,615052100
4/12/2021,6889.100098,6889.100098,6916.100098,6853.799805,6915.799805,639363600
4/13/2021,6890.5,6890.5,6895.100098,6859.700195,6889.100098,572405700
4/14/2021,6939.600098,6939.600098,6942.299805,6880.700195,6890.5,596867000
4/15/2021,6983.5,6983.5,6994.899902,6939.299805,6939.600098,651402900
4/16/2021,7019.5,7019.5,7037.700195,6983.5,6983.5,742505700
4/19/2021,7000.100098,7000.100098,7040.299805,6979.200195,7019.5,529712700
4/20/2021,6859.899902,6859.899902,7001.299805,6857.100098,7000.100098,825253600
4/21/2021,6895.299805,6895.299805,6914.899902,6859.600098,6859.899902,662064600
4/22/2021,6938.200195,6938.200195,6941.100098,6889.299805,6895.299805,647196400
4/23/2021,6938.600098,6938.600098,6938.600098,6891.799805,6938.200195,582223700
4/26/2021,6963.100098,6963.100098,6971.5,6913.399902,6938.600098,511633400
4/27/2021,6945,6945,6975.100098,6929.799805,6963.100098,658634400
4/28/2021,6963.700195,6963.700195,6986.700195,6944.100098,6945,990231900
4/29/2021,6961.5,6961.5,7019.799805,6953.899902,6963.700195,657930300
4/30/2021,6969.799805,6969.799805,7009.5,6946,6961.5,831625600
5/4/2021,6923.200195,6923.200195,7034.299805,6912.299805,6969.799805,911981600
5/5/2021,7039.299805,7039.299805,7047.799805,6923.200195,6923.200195,734979800
5/6/2021,7076.200195,7076.200195,7076.200195,7026.799805,7039.299805,764405400
5/7/2021,7129.700195,7129.700195,7143.5,7076.200195,7076.200195,624763100
5/10/2021,7123.700195,7123.700195,7164.200195,7104.399902,7129.700195,744129400
5/11/2021,6948,6948,7123.700195,6912.399902,7123.700195,933225500
5/12/2021,7004.600098,7004.600098,7028.100098,6945.299805,6948,743459700
5/13/2021,6963.299805,6963.299805,7004.600098,6823.600098,7004.600098,660813600
5/14/2021,7043.600098,7043.600098,7048.700195,6963.299805,6963.299805,845954300
5/17/2021,7032.899902,7032.899902,7066.799805,6989.100098,7043.600098,582188300
5/18/2021,7034.200195,7034.200195,7102.600098,7030.399902,7032.899902,736327300
5/19/2021,6950.200195,6950.200195,7034.200195,6897.100098,7034.200195,729532000
5/20/2021,7019.799805,7019.799805,7019.799805,6926.899902,6950.200195,626003200
5/21/2021,7018.100098,7018.100098,7028.200195,6973.299805,7019.799805,803607300
5/24/2021,7051.600098,7051.600098,7054.600098,7013.5,7018.100098,422927700
5/25/2021,7029.799805,7029.799805,7067.600098,7029.799805,7051.600098,619367600
5/26/2021,7026.899902,7026.899902,7050.899902,6998.200195,7029.799805,619965100
5/27/2021,7019.700195,7019.700195,7044,7008.5,7026.899902,1422973500
5/28/2021,7022.600098,7022.600098,7054.899902,7019.600098,7019.700195,786614400
6/1/2021,7080.5,7080.5,7118,7022.600098,7022.600098,726701500
6/2/2021,7108,7108,7122.5,7074.100098,7080.5,570341500
6/3/2021,7064.399902,7064.399902,7108,7013.899902,7108,617182900
6/4/2021,7069,7069,7071.799805,7039.700195,7064.399902,425216000
6/7/2021,7077.200195,7077.200195,7098.299805,7042.200195,7069,963131300
6/8/2021,7095.100098,7095.100098,7120.700195,7074.899902,7077.200195,550005100
6/9/2021,7081,7081,7095.700195,7046,7095.100098,575133700
6/10/2021,7088.200195,7088.200195,7117.700195,7080,7081,574917100
6/11/2021,7134.100098,7134.100098,7140.700195,7088.200195,7088.200195,509040600
6/14/2021,7146.700195,7146.700195,7188.299805,7131.799805,7134.100098,551244200
6/15/2021,7172.5,7172.5,7189.600098,7142.700195,7146.700195,779379400
6/16/2021,7185,7185,7217.5,7169.200195,7172.5,723106300
6/17/2021,7153.399902,7153.399902,7185,7133,7185,724679900
6/18/2021,7017.5,7017.5,7154.600098,7008.700195,7153.399902,1553511000
6/21/2021,7062.299805,7062.299805,7065.100098,6948.600098,7017.5,820495800
6/22/2021,7090,7090,7098.700195,7061.100098,7062.299805,522524500
6/23/2021,7074.100098,7074.100098,7129.399902,7074.100098,7090,567367400
6/24/2021,7110,7110,7119.399902,7070.899902,7074.100098,726332500
6/25/2021,7136.100098,7136.100098,7139.100098,7109.799805,7110,609038400
6/28/2021,7073,7073,7136.200195,7072,7136.100098,682531900
6/29/2021,7087.600098,7087.600098,7120.799805,7071.899902,7073,531015400
6/30/2021,7037.5,7037.5,7100.700195,7010.600098,7087.600098,659209600
7/1/2021,7125.200195,7125.200195,7134.200195,7037.5,7037.5,631273700
7/2/2021,7123.299805,7123.299805,7162.200195,7110.299805,7125.200195,520006400
7/5/2021,7164.899902,7164.899902,7168,7111.5,7123.299805,384449600
7/6/2021,7100.899902,7100.899902,7170.600098,7075.700195,7164.899902,635763200
7/7/2021,7151,7151,7153.700195,7100.899902,7100.899902,600040700
7/8/2021,7030.700195,7030.700195,7151,6981.600098,7151,741526200
7/9/2021,7121.899902,7121.899902,7121.899902,7030.200195,7030.700195,577541200
7/12/2021,7125.399902,7125.399902,7134.899902,7066.200195,7121.899902,484702100
7/13/2021,7124.700195,7124.700195,7152.399902,7116.299805,7125.399902,613836900
7/14/2021,7091.200195,7091.200195,7124.700195,7073.600098,7124.700195,565377200
7/15/2021,7012,7012,7111.799805,7005,7091.200195,612974400
7/16/2021,7008.100098,7008.100098,7056.700195,6978.100098,7012,617556700
7/19/2021,6844.399902,6844.399902,7008.100098,6813,7008.100098,817237100
7/20/2021,6881.100098,6881.100098,6929.899902,6827.299805,6844.399902,941993900
7/21/2021,6998.299805,6998.299805,7007.799805,6881.100098,6881.100098,784895600
7/22/2021,6968.299805,6968.299805,7019,6956.200195,6998.299805,497512000
7/23/2021,7027.600098,7027.600098,7033.299805,6968.299805,6968.299805,461681400
7/26/2021,7025.399902,7025.399902,7038.700195,6980.700195,7027.600098,524700700
7/27/2021,6996.100098,6996.100098,7028.399902,6929.600098,7025.399902,516983900
7/28/2021,7016.600098,7016.600098,7023.399902,6974.799805,6996.100098,595315800
7/29/2021,7078.399902,7078.399902,7093.899902,7008.700195,7016.600098,789496800
7/30/2021,7032.299805,7032.299805,7078.399902,6996.899902,7078.399902,674951500
8/2/2021,7081.700195,7081.700195,7111.700195,7032.299805,7032.299805,526271100
8/3/2021,7105.700195,7105.700195,7119.200195,7074.299805,7081.700195,613947100
8/4/2021,7123.899902,7123.899902,7142.5,7105.700195,7105.700195,618704700
8/5/2021,7120.399902,7120.399902,7130.399902,7099,7123.899902,814802900
8/6/2021,7123,7123,7135.399902,7103.700195,7120.399902,677358200
8/9/2021,7132.299805,7132.299805,7138.799805,7089.700195,7123,525136800
8/10/2021,7161,7161,7166.700195,7115.899902,7132.299805,559144000
8/11/2021,7220.100098,7220.100098,7220.100098,7157.700195,7161,536436100
8/12/2021,7193.200195,7193.200195,7220.700195,7182.899902,7220.100098,574940100
8/13/2021,7218.700195,7218.700195,7224.5,7193.100098,7193.200195,501180000
8/16/2021,7154,7154,7218.700195,7117.799805,7218.700195,522255500
8/17/2021,7181.100098,7181.100098,7188.600098,7118.700195,7154,573595700
8/18/2021,7169.299805,7169.299805,7198.799805,7143.600098,7181.100098,792002500
8/19/2021,7058.899902,7058.899902,7169.299805,6993.100098,7169.299805,602767800
8/20/2021,7087.899902,7087.899902,7095.600098,7032.5,7058.899902,549551400
8/23/2021,7109,7109,7147.799805,7087.899902,7087.899902,493195600
8/24/2021,7125.799805,7125.799805,7129.700195,7076.100098,7109,582751900
8/25/2021,7150.100098,7150.100098,7151.799805,7121.299805,7125.799805,510382500
8/26/2021,7125,7125,7150.100098,7095.399902,7150.100098,391705500
8/27/2021,7148,7148,7157.600098,7108.5,7125,425583800
8/31/2021,7119.700195,7119.700195,7160.5,7092,7148,1002276600
9/1/2021,7149.799805,7149.799805,7187.299805,7119.700195,7119.700195,522902700
9/2/2021,7163.899902,7163.899902,7168.799805,7129.700195,7149.799805,538705600
9/3/2021,7138.399902,7138.399902,7182.200195,7123.899902,7163.899902,499092300
9/6/2021,7187.200195,7187.200195,7195.600098,7138.399902,7138.399902,306418900
9/7/2021,7149.399902,7149.399902,7187.200195,7147.899902,7187.200195,466824500
9/8/2021,7095.5,7095.5,7149.399902,7061.100098,7149.399902,567994400
9/9/2021,7024.200195,7024.200195,7095.5,6998.600098,7095.5,695389400
9/10/2021,7029.200195,7029.200195,7055.200195,7014.399902,7024.200195,492655900
9/13/2021,7068.399902,7068.399902,7090.799805,7029.200195,7029.200195,545721200
9/14/2021,7034.100098,7034.100098,7068.5,7020.100098,7068.399902,678394800
9/15/2021,7016.5,7016.5,7047.299805,7016.5,7034.100098,772561700
9/16/2021,7027.5,7027.5,7059,7016.299805,7016.5,667606300
9/17/2021,6963.600098,6963.600098,7092.700195,6941.700195,7027.5,1627774500
9/20/2021,6903.899902,6903.899902,6963.600098,6828.299805,6963.600098,905908000
9/21/2021,6981,6981,7004.899902,6903.899902,6903.899902,811822000
9/22/2021,7083.399902,7083.399902,7090.5,6981,6981,623048700
9/23/2021,7078.399902,7078.399902,7131.399902,7070.700195,7083.399902,731206400
9/24/2021,7051.5,7051.5,7080.200195,7041.299805,7078.399902,836348200
9/27/2021,7063.399902,7063.399902,7122.100098,7043.200195,7051.5,900413700
9/28/2021,7028.100098,7028.100098,7071.399902,7015.600098,7063.399902,819400500
9/29/2021,7108.200195,7108.200195,7117.5,7026.899902,7028.100098,810850000
9/30/2021,7086.399902,7086.399902,7159.600098,7072.600098,7108.200195,868050200
10/1/2021,7027.100098,7027.100098,7086.399902,6989.600098,7086.399902,815417000
